Commit SHA,Author,Date,Commit Message
22c4901d58852e498de2ad2e423a04fbdbaefac6,,2021-06-14,chore(deps): bump normalize-url from 4.5.0 to 4.5.1 (#81)
18f33328dc7d945b84f803891dc390437b303b56,,2021-06-14,Update dependencies to latest (#82)
b1f12ece37745f15d8c8642dbb73d8672265ba6b,,2021-06-08,Update dependencies to latest (#80)
58678b5d474f0f32d41d717ed1b1ca3248786ad0,,2021-05-31,chore(deps): bump browserslist from 4.14.7 to 4.16.6 (#78)
f0ad36d1589284dc329626fc69ab987bc8d904ab,,2021-05-31,Update dependencies to latest (#79)
a70783f3dd414a9fc79ed406220c7da21734a9a2,,2021-05-25,Update dependencies to latest (#77)
278d7d2821262efb31ca05aa93e4c0a4c07c6b40,Isao Kozakai,2021-05-19,[OE-1528] Change the URL (#76)
c8de13b57890668653aeb3b4555676d6d9bc9238,Isao Kozakai,2021-05-19,"[OE-1526,OE-1527,OE-1528,OE-1530] Add the rest of the email functions (#75)"
e15acc797df67b55b3f4e0aac64489e15ce9d8c7,,2021-05-17,chore(deps): bump hosted-git-info from 2.8.8 to 2.8.9 (#71)
88bff084bec87ab0f934b7eb8c21487328fd9a25,,2021-05-17,Update dependencies to latest (#72)
1a6519ae7b3e02368abc3a6dec808e177af90c5a,Isao Kozakai,2021-05-17,[OE-1525] As vendor I want to receive email notification when PO has been created and the offer needs to be reviewed (#74)
e450542a08537d9a70d1f52008ceb793f0c69b79,Isao Kozakai,2021-05-17,[OE-1531] As designer I want all PO notifications emails to use one email template (#73)
ed52b6ed339d37c74723a5d6a3ab9d77617fbe33,,2021-05-10,Update dependencies to latest (#70)
c3e55ba249822c6123165f2962cc8bacb6769bbf,,2021-05-06,Update dependencies to latest (#69)
3b85ab11251591cb9a80f4bbd0a772e4b72be54c,,2021-04-27,Update dependencies to latest (#68)
f6f0fe383c7ce45fb886041e3a9b30060f8e2169,,2021-04-19,Update dependencies to latest (#67)
ab96154ec2ef3be0a80e3df691dc4bbdcd7fe82f,,2021-04-13,Update dependencies to latest (#66)
e95dd4a4ada4eec52a24cb52ecb9125d57e58f95,,2021-04-06,Update dependencies to latest (#65)
5e4f0755f893ae398d668ce7060ce543daa37e4f,,2021-03-29,Update dependencies to latest (#64)
c21cacbd1567bcaffca975ed4938f6913c7eea2c,,2021-03-24,Update dependencies to latest (#63)
c973e0f45c47493c02e38c5d498f288e23040b37,,2021-03-16,Update dependencies to latest (#62)
66df68d0b8a3efe8590a29b1a1a3b3305abc65ad,,2021-03-08,Update dependencies to latest (#61)
2c39e1a2ab4f634e52f716ac484684edadeb5a95,,2021-03-01,Update dependencies to latest (#60)
5bfe3719d98083b1c141f165fe16f4abbdf2a9dc,,2021-02-22,Update dependencies to latest (#59)
8f170aaf6dc686d196f8bf8e0f52e2c9b94e3eff,,2021-02-16,Update dependencies to latest (#58)
beaae4c07bf5b9bfba6216d793f9cd9fb41cf134,Carlos Renato Salim Campos,2021-02-11,[OE-1145] Switch emails-service email provider to Mailgun (#53)
7703ca6d66ae4aa44f613de36ecc691a70227a34,,2021-02-10,Update dependencies to latest (#57)
06d4cf022aa5bd488097651c9dd2e3ce7c4f75e3,,2021-02-03,Update dependencies to latest (#56)
