Commit SHA,Author,Date,Commit Message
b0427450c3d2f0be79e63bc2fdfd8cc0d1a23644,,2021-04-27,Update dependencies to latest (#68)
15f8b5e38a9f6f31decdd8f8ca5c1b82dfc94308,,2021-04-19,Update dependencies to latest (#67)
bfeffa297974391862b95dccb28b0fab84b39fc9,,2021-04-13,Update dependencies to latest (#65)
5fcecf9b5ade454d9d4094dc42400add85916d0c,Carlos Renato Salim Campos,2021-04-12,[OE-1310] Fix isReorder(#66)
67a292bfa32859558685a47ced744b9d50b929ac,Viatcheslav Ivanov,2021-04-06,Merge branch 'main' of github.com:omnae/products-service into main
6f5e31168186756503b39caede009d26a3cd0716,Viatcheslav Ivanov,2021-04-06,chore: default tooling charges to 0 if not available
b23676ffb735e5a02bafd7ef741862cfa3a36fa5,,2021-04-06,Update dependencies to latest (#63)
e5ec02bb7641ca8c71625c34389ed0cff960debc,Carlos Renato Salim Campos,2021-04-05,[OE-1310] Fix isReorder (#64)
829cfc131f3eb466d6bc7e0735683146609be95d,,2021-03-29,Update dependencies to latest (#62)
a41a9ec605ed37f625782f0529f6bab5718deb3c,Viatcheslav Ivanov,2021-03-24,Merge branch 'main' of github.com:omnae/products-service into main
899bda7224d46982c3acdd0a083a720d00f1ea43,Viatcheslav Ivanov,2021-03-24,[OE-1371] Add currency to product
50b91d7eb500d07968650eb77c45de85ad26a2ea,,2021-03-24,Update dependencies to latest (#61)
e61c8b64ca95f993c8c358149b969927f0e1cb4e,Carlos Renato Salim Campos,2021-03-24,[OE-1310] I want to see PO production run (#60)
ca804c676d6c1f010da101edd87687996f299ee9,,2021-03-16,Update dependencies to latest (#58)
24a249be6ec95d63d1ad8b1bca77e244adf7f014,Carlos Renato Salim Campos,2021-03-15,[OE-1310] See Purchase Order Details : numberSampleIncluded & toolingSetupCharges (#59)
660843e8e0737b70592b312d0057109da7e2532e,Carlos Renato Salim Campos,2021-03-09,[OE-1351] Change validation (#57)
3b1cd27a9ed6cf846d3114dbb4ce294514349c87,Carlos Renato Salim Campos,2021-03-09,[OE-1351] Add validation to support multiple re-order (#56)
f2ad2aff777dc4ab0a14c7ed667b1e53abd97326,Viatcheslav Ivanov,2021-03-09,update knex to latest and resolve conflicts
f1448f0c1b5cba281b239cb38d7ebc6fab5a3bda,Viatcheslav Ivanov,2021-03-08,chore: revert knex
c414a8f4abd67579ee3db3bc6ef6ed7bed067b4d,,2021-03-08,Update dependencies to latest (#55)
2919c4d36701980ae0431f6099684ea94a78abc2,,2021-03-01,Update dependencies to latest (#54)
cfb2c2a872cbcb469907ba3895f4f2d74c183cfe,,2021-02-22,Update dependencies to latest (#53)
b9244fdb50a8493dd3c9a31802485c89d1a6e4c9,Carlos Renato Salim Campos,2021-02-19,Fix Part Sharing (#52)
baea024f702ddf6234c381d6b8ee2732998ee486,,2021-02-16,Update dependencies to latest (#51)
0726354d2975b3f7aa4d62e4c4de2a1b362d29b5,,2021-02-03,Update dependencies to latest (#50)
