Commit SHA,Author,Date,Commit Message
8d908a1425203221fa29a89bdcebc35f5183cbe7,Viatcheslav Ivanov,2021-12-02,refactor: revert dev packages deps update
7c3dba4ca1d87a949b1d2e955162c9a380b124bb,Unknown,2021-11-30,update dependencies to latest
ca14f6d9134c1cb6d070edb7af23fd38e3b3ecb7,Viatcheslav Ivanov,2021-11-29,fix: remove functio text from page
7c11d797a972e9f4e3eba20849326fc73f78a2b4,Viatcheslav Ivanov,2021-11-29,[OE-1837] Add comments to Product Dashboard page (#897)
f1d051b6051210833c9ff1175c819bc89ed2f39d,Viatcheslav Ivanov,2021-11-24,fix: product dashboard page is not openning
b04b41da359c53c103d7c3d8cdbd571ffa5b1a2b,Svetlana Ivanova,2021-11-23,refactor: fix many linting errors
8d3a259453eec03ae543ab5c0707aead621a5753,Viatcheslav Ivanov,2021-11-22,refactor: cleanup po invoices feature flag
868f7125984ead39691c4cb2b80a9c9fbc3cbf10,Isao Kozakai,2021-11-22,[OE-1787] Bug: Able to upload an invoice with same invoice number (#895)
964e9654073dac4186304b3b323fe6b1483b7f51,Svetlana Ivanova,2021-11-20,update dependencies to latest
ab77eba089ce0a2cdb76d9f0c3150fa75f3d3b24,Svetlana Ivanova,2021-11-19,update dependencies to latest
03084185e32d1345cb94057e972f7e76fada65c2,Isao Kozakai,2021-11-08,[OE-1745] As customer I want PO to be created in my QBO account when I submit draft PO in Omnae (#891)
cfeb65969a24e4e561e3f601701734cec49e176f,Svetlana Ivanova,2021-11-08,update dependencies to latest
23d19bdb0556e7f3b7ac89c3203a2626ddac05e3,Svetlana Ivanova,2021-11-08,update dependencies to latest
00fbcde7d3fd19a17001919d719b0202c9c665b5,Viatcheslav Ivanov,2021-11-06,[OE-1808] Add comments to purchase orders (#892)
07025291f5726d576d3d47bd2922e88fdb988049,Viatcheslav Ivanov,2021-11-03,refactor: remove unused deps
2a8ae90fba7638f8687cbabf0bd29402b8d701a4,Svetlana Ivanova,2021-11-02,refactor: fix eslint errors
99c31fd154798fc72100a92b89fbeb4c79730e0d,Svetlana Ivanova,2021-11-02,update dependencies to latest
f314372b95a3221e4e3e524a43747b9be33f415a,Svetlana Ivanova,2021-11-02,Merge branch 'main' of github.com:omnae/omnae-app
9e0be067c02c5a6447cfd06009b8712c5bd26da5,Viatcheslav Ivanov,2021-10-26,chore: update QBO clientId to latest
36ebf1ca6b8bd603137824de3b2b98abf5fd98a5,Viatcheslav Ivanov,2021-10-25,update translations to latest
